TITLE,YOUTUBE_URL,START_TIME,END_TIME,SAMPLE_TYPE,DESCRIPTION,GENRE,DECADE,START_SECONDS,END_SECONDS,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,RESOLUTION,QUERY_USED,TIMESTAMP_LOADED,YOUTUBE_RANK,VIDEO_DURATION,ARTIST,CHATGPT_PROMPT
Joé Dwèt Filé & Burna Boy- 4 Kampe II [Official Audio],https://www.youtube.com/watch?v=KHOSr53EPCQ,,,full track,"This track likely features rhythmic and melodic elements typical of Afrobeat, with potential for sampling in the form of catchy hooks, rhythmic grooves, and possibly distinctive vocal lines. It could be useful for producers looking to incorporate vibrant and energetic elements into their music.",Afrobeat,2020s,0,0,212,4814638,121856,8361,480x360,Burna Boy,2025-04-18 00:00:06.162 Z,1,,Joé Dwèt Filé & Burna Boy,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Mulatu Astatqé (Ethiopiques)   Yèkatit,https://www.youtube.com/watch?v=fiXGKO1siPM,,,instrumental section,"The video likely contains a track by Mulatu Astatqé, a pioneer of Ethio-jazz. The music could feature a blend of jazz with traditional Ethiopian music, making it a rich source for sampling. It might contain unique instrumental sections with traditional Ethiopian scales and rhythms that could be valuable for a music producer looking to incorporate world music elements into their productions.",Jazz,1970s,0,0,302,2925,27,0,480x360,Ethiopiques (various artists),2025-04-18 00:00:06.162 Z,1,,Mulatu Astatqé,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Hugh Masekela - Grazing In The Grass (1968),https://www.youtube.com/watch?v=qxXZF60EPdM,,,instrumental section,"This video likely contains a performance of Hugh Masekela's hit 'Grazing In The Grass', which is known for its upbeat and catchy instrumental sections featuring the trumpet. It is highly useful for sampling due to its iconic trumpet riffs and vibrant jazz elements that could be used in various music productions.",Jazz,1960s,0,0,158,5248656,59265,3800,480x360,Hugh Masekela,2025-04-18 00:00:06.162 Z,1,,Hugh Masekela,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Steppin' Out,https://www.youtube.com/watch?v=2jJF0eBoPi8,,,instrumental section,"This video likely contains the song 'Steppin' Out' by Joe Jackson, which is a pop classic from the early 1980s. It features catchy melodies and rhythms that could be useful for sampling, especially for creating upbeat and nostalgic tracks. The song's instrumental sections, especially the keyboard and synth parts, may offer potential for producers looking to add a retro pop vibe to their productions.",Pop,1980s,0,0,246,6742437,61732,470,480x360,Steel Pulse,2025-04-18 00:00:06.162 Z,1,,Joe Jackson,Give me a list of 10 African or Caribbean artists known for stripped-down vocal intros or rhythm sections ideal for sampling. List only the names—no extra explanation.
Zakir Hussain Meets Berklee - Ustad Zakir Hussain Tabla Solo,https://www.youtube.com/watch?v=LAwgD_YxRgM,,,isolated percussion,"This video likely features a live tabla solo performance by Ustad Zakir Hussain, showcasing intricate rhythms and techniques. It could be highly useful for sampling unique and complex percussion patterns, particularly for music producers looking to incorporate traditional Indian percussion elements into their work.",World Music,2010s,0,0,556,3709157,43920,845,480x360,Zakir Hussain,2025-04-18 19:21:16.685 Z,1,,Zakir Hussain,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
"Nitin Sawhney performing ""Sunset"" on KCRW",https://www.youtube.com/watch?v=wI2xQkjO4QA,,,live performance,"This live performance by Nitin Sawhney likely showcases a fusion of diverse musical influences, with potential for sampling rich instrumental sections and live performance nuances. It could be valuable for producers looking for unique sounds or cultural elements to incorporate into their music.",World Music,2000s,0,0,238,917243,7881,420,480x360,Nitin Sawhney,2025-04-18 19:21:16.685 Z,1,,Nitin Sawhney,Give me a list of 10  Asian artists known for percussion or rhythm sections ideal for sampling. List only the names—no extra explanation.
Christian McBride - Latin Jazz,https://www.youtube.com/watch?v=cwBiuJy07OQ,,,instrumental section,"The video likely features a live performance or studio recording of Christian McBride, a renowned jazz bassist, playing Latin Jazz. This genre typically combines jazz with Latin American rhythms and instruments, offering rich textures for sampling. It is particularly useful for producers looking for complex rhythmic patterns, melodic bass lines, and vibrant instrumental sections.",Latin Jazz,2010s,0,0,211,1953,29,1,480x360,"**Eddie Palmieri** - Conversations about his fusion of jazz and salsa music, with insights from various jazz festivals and interviews",2025-04-17 18:18:46.568 Z,1,,Christian McBride,Give me a list of 10  Interviews with salsa musicians 1980s”
"Esperanza Spalding - ""I Know You Know / Smile Like That"" (Live in San Sebastian july 23, 2009 - 3/9)",https://www.youtube.com/watch?v=2aRC3YY3svs,,,live performance,"This live performance likely features intricate bass lines, smooth vocals, and improvisational elements, making it useful for sampling unique live instrumental sections and vocal phrases.",Jazz,2000s,0,0,552,6717185,83002,2316,480x360,Esperanza Spalding,2025-04-16 17:35:49.013 Z,1,,Esperanza Spalding,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
"Rodrigo y Gabriela- ""Hanuman"" OFFICIAL",https://www.youtube.com/watch?v=ENBX_v1Po1Y,,,instrumental section,"The video likely features an acoustic guitar performance by the duo known for their rhythmic guitar work, which can be useful for sampling instrumental sections, especially for creating unique textures or adding an acoustic feel to a track.",World Music,2000s,0,0,243,13267389,127275,3446,480x360,Rodrigo y Gabriela,2025-04-16 17:35:49.013 Z,1,,Rodrigo y Gabriela,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
Mustt Mustt :  Kiran Ahluwalia with Tinariwen,https://www.youtube.com/watch?v=u4VqYHXwX5Y,,,live performance,"This video likely features a collaboration between Kiran Ahluwalia, known for her expertise in Indian and Pakistani music styles, and Tinariwen, a group renowned for their Tuareg desert blues. The fusion of these styles offers rich, diverse soundscapes suitable for sampling ambient textures, unique vocal harmonies, and intricate instrumental patterns.",World Music,2010s,0,0,281,741034,5815,270,480x360,Kiran Ahluwalia,2025-04-16 17:35:49.013 Z,1,,Kiran Ahluwalia with Tinariwen,Give me a list of 10 artists who use traditional instruments in a way that results in clear isolated grooves. List only the names—no extra explanation.
